"BLN","TGL","DHUHUR","ASHAR","MAGHRIB","ISYA","SUBUH","TERBIT","DHUHA"
9,23,30/12/1899 11:25:00,30/12/1899 14:38:00,30/12/1899 17:28:00,30/12/1899 18:36:00,30/12/1899 04:08:00,30/12/1899 05:16:00,30/12/1899 05:42:00
9,24,30/12/1899 11:25:00,30/12/1899 14:38:00,30/12/1899 17:28:00,30/12/1899 18:36:00,30/12/1899 04:08:00,30/12/1899 05:16:00,30/12/1899 05:42:00
9,25,30/12/1899 11:25:00,30/12/1899 14:38:00,30/12/1899 17:28:00,30/12/1899 18:36:00,30/12/1899 04:08:00,30/12/1899 05:16:00,30/12/1899 05:42:00
9,26,30/12/1899 11:24:00,30/12/1899 14:31:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:04:00,30/12/1899 05:14:00,30/12/1899 05:38:00
9,27,30/12/1899 11:24:00,30/12/1899 14:31:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:04:00,30/12/1899 05:14:00,30/12/1899 05:38:00
9,28,30/12/1899 11:24:00,30/12/1899 14:31:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:04:00,30/12/1899 05:14:00,30/12/1899 05:38:00
9,29,30/12/1899 11:24:00,30/12/1899 14:31:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:04:00,30/12/1899 05:14:00,30/12/1899 05:38:00
9,30,30/12/1899 11:24:00,30/12/1899 14:31:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:04:00,30/12/1899 05:14:00,30/12/1899 05:38:00
10,1,30/12/1899 11:22:00,30/12/1899 14:28:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:01:00,30/12/1899 05:12:00,30/12/1899 05:38:00
10,2,30/12/1899 11:22:00,30/12/1899 14:28:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:01:00,30/12/1899 05:12:00,30/12/1899 05:38:00
10,3,30/12/1899 11:22:00,30/12/1899 14:28:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:01:00,30/12/1899 05:12:00,30/12/1899 05:38:00
10,4,30/12/1899 11:22:00,30/12/1899 14:28:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:01:00,30/12/1899 05:12:00,30/12/1899 05:38:00
10,5,30/12/1899 11:22:00,30/12/1899 14:28:00,30/12/1899 17:27:00,30/12/1899 18:36:00,30/12/1899 04:01:00,30/12/1899 05:12:00,30/12/1899 05:38:00
10,6,30/12/1899 11:20:00,30/12/1899 14:26:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:57:00,30/12/1899 05:09:00,30/12/1899 05:33:00
10,7,30/12/1899 11:20:00,30/12/1899 14:26:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:57:00,30/12/1899 05:09:00,30/12/1899 05:33:00
10,8,30/12/1899 11:20:00,30/12/1899 14:26:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:57:00,30/12/1899 05:09:00,30/12/1899 05:33:00
10,9,30/12/1899 11:20:00,30/12/1899 14:26:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:57:00,30/12/1899 05:09:00,30/12/1899 05:33:00
10,10,30/12/1899 11:20:00,30/12/1899 14:26:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:57:00,30/12/1899 05:09:00,30/12/1899 05:33:00
10,11,30/12/1899 11:19:00,30/12/1899 14:22:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:55:00,30/12/1899 05:07:00,30/12/1899 05:31:00
10,12,30/12/1899 11:19:00,30/12/1899 14:22:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:55:00,30/12/1899 05:07:00,30/12/1899 05:31:00
10,13,30/12/1899 11:19:00,30/12/1899 14:22:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:55:00,30/12/1899 05:07:00,30/12/1899 05:31:00
10,14,30/12/1899 11:19:00,30/12/1899 14:22:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:55:00,30/12/1899 05:07:00,30/12/1899 05:31:00
10,15,30/12/1899 11:19:00,30/12/1899 14:22:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:55:00,30/12/1899 05:07:00,30/12/1899 05:31:00
10,16,30/12/1899 11:18:00,30/12/1899 14:25:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:05:00,30/12/1899 05:28:00
10,17,30/12/1899 11:18:00,30/12/1899 14:25:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:05:00,30/12/1899 05:28:00
10,18,30/12/1899 11:18:00,30/12/1899 14:25:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:05:00,30/12/1899 05:28:00
10,19,30/12/1899 11:18:00,30/12/1899 14:25:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:05:00,30/12/1899 05:28:00
10,20,30/12/1899 11:18:00,30/12/1899 14:25:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:05:00,30/12/1899 05:28:00
10,21,30/12/1899 11:17:00,30/12/1899 14:28:00,30/12/1899 17:26:00,30/12/1899 18:36:00,30/12/1899 03:52:00,30/12/1899 05:03:00,30/12/1899 05:27:00
2,12,30/12/1899 11:46:00,30/12/1899 15:00:00,30/12/1899 17:57:00,30/12/1899 19:07:00,30/12/1899 04:19:00,30/12/1899 05:33:00,30/12/1899 05:56:00
2,13,30/12/1899 11:46:00,30/12/1899 15:00:00,30/12/1899 17:57:00,30/12/1899 19:07:00,30/12/1899 04:19:00,30/12/1899 05:33:00,30/12/1899 05:56:00
2,14,30/12/1899 11:46:00,30/12/1899 15:00:00,30/12/1899 17:57:00,30/12/1899 19:07:00,30/12/1899 04:19:00,30/12/1899 05:33:00,30/12/1899 05:56:00
2,15,30/12/1899 11:46:00,30/12/1899 15:00:00,30/12/1899 17:57:00,30/12/1899 19:07:00,30/12/1899 04:19:00,30/12/1899 05:33:00,30/12/1899 05:56:00
2,16,30/12/1899 11:46:00,30/12/1899 14:58:00,30/12/1899 17:56:00,30/12/1899 19:05:00,30/12/1899 04:21:00,30/12/1899 05:34:00,30/12/1899 05:56:00
2,17,30/12/1899 11:46:00,30/12/1899 14:58:00,30/12/1899 17:56:00,30/12/1899 19:05:00,30/12/1899 04:21:00,30/12/1899 05:34:00,30/12/1899 05:56:00
2,18,30/12/1899 11:46:00,30/12/1899 14:58:00,30/12/1899 17:56:00,30/12/1899 19:05:00,30/12/1899 04:21:00,30/12/1899 05:34:00,30/12/1899 05:56:00
2,19,30/12/1899 11:46:00,30/12/1899 14:58:00,30/12/1899 17:56:00,30/12/1899 19:05:00,30/12/1899 04:21:00,30/12/1899 05:34:00,30/12/1899 05:56:00
2,20,30/12/1899 11:46:00,30/12/1899 14:58:00,30/12/1899 17:56:00,30/12/1899 19:05:00,30/12/1899 04:21:00,30/12/1899 05:34:00,30/12/1899 05:56:00
